Shape_Leng;Shape_Area;ADM2_EN;ADM2_PCODE;ADM1_EN;ADM1_PCODE;KABKOT;LUAS
236.002.903.082;0.22896809393;Aceh Barat;ID1107;Aceh;ID11;;
196.399.423.325;0.15413587094;Aceh Barat Daya;ID1112;Aceh;ID11;;
459.018.215.352;0.23639580774;Aceh Besar;ID1108;Aceh;ID11;;
328.775.358.538;0.31616113891;Aceh Jaya;ID1116;Aceh;ID11;;
444.858.439.769;0.34303826299;Aceh Selatan;ID1103;Aceh;ID11;;
490.721.868.714;0.15344136938;Aceh Singkil;ID1102;Aceh;ID11;;
259.338.549.693;0.17456724600;Aceh Tamiang;ID1114;Aceh;ID11;;
367.688.916.675;0.38348942100;Aceh Tengah;ID1106;Aceh;ID11;;
347.302.105.016;0.33745620880;Aceh Tenggara;ID1104;Aceh;ID11;;
503.714.771.556;0.44340416936;Aceh Timur;ID1105;Aceh;ID11;;
377.506.145.379;0.22101317642;Aceh Utara;ID1111;Aceh;ID11;;
225.179.619.016;0.15746594720;Bener Meriah;ID1117;Aceh;ID11;;
205.575.534.020;0.14607344771;Bireuen;ID1110;Aceh;ID11;;
354.208.097.147;0.44387907809;Gayo Lues;ID1113;Aceh;ID11;;
0.52197988351;0.00451557898;Kota Banda Aceh;ID1171;Aceh;ID11;;
0.93298241240;0.01731219464;Kota Langsa;ID1173;Aceh;ID11;;
0.64874473810;0.01126715217;Kota Lhokseumawe;ID1174;Aceh;ID11;;
0.87111974783;0.01003508297;Kota Sabang;ID1172;Aceh;ID11;;
190.423.214.417;0.09495556493;Kota Subulussalam;ID1175;Aceh;ID11;;
277.936.353.590;0.27887738647;Nagan Raya;ID1115;Aceh;ID11;;
332.529.627.491;0.24268396505;Pidie;ID1109;Aceh;ID11;;
140.562.836.311;0.07687070041;Pidie Jaya;ID1118;Aceh;ID11;;
673.228.014.748;0.14943041267;Simeulue;ID1101;Aceh;ID11;;
159.839.871.071;0.09996753308;Bengkulu Selatan;ID1701;Bengkulu;ID17;;
132.773.873.662;0.08506426017;Bengkulu Tengah;ID1709;Bengkulu;ID17;;
407.837.088.648;0.36095195905;Bengkulu Utara;ID1703;Bengkulu;ID17;;
264.767.773.185;0.20710516928;Kaur;ID1704;Bengkulu;ID17;;
121.507.175.556;0.05743690939;Kepahiang;ID1708;Bengkulu;ID17;;
0.73557034511;0.01519598106;Kota Bengkulu;ID1771;Bengkulu;ID17;;
224.500.818.612;0.13555568357;Lebong;ID1707;Bengkulu;ID17;;
283.555.690.019;0.34640175102;Mukomuko;ID1706;Bengkulu;ID17;;
208.446.896.636;0.12264027634;Rejang Lebong;ID1702;Bengkulu;ID17;;
233.359.737.806;0.19980939898;Seluma;ID1705;Bengkulu;ID17;;
459.885.698.160;0.44409561419;Batang Hari;ID1504;Jambi;ID15;;
378.464.427.211;0.38139886541;Bungo;ID1509;Jambi;ID15;;
308.338.616.147;0.27654651964;Kerinci;ID1501;Jambi;ID15;;
0.65319658008;0.01393729120;Kota Jambi;ID1571;Jambi;ID15;;
0.76411411856;0.02867635380;Kota Sungai Penuh;ID1572;Jambi;ID15;;
485.540.845.066;0.60309639240;Merangin;ID1502;Jambi;ID15;;
522.701.947.870;0.44034747275;Muaro Jambi;ID1505;Jambi;ID15;;
458.494.931.210;0.47730843894;Sarolangun;ID1503;Jambi;ID15;;
318.264.807.288;0.40053727882;Tanjung Jabung Barat;ID1507;Jambi;ID15;;
397.493.411.622;0.40234500251;Tanjung Jabung Timur;ID1506;Jambi;ID15;;
432.582.284.231;0.50942200517;Tebo;ID1508;Jambi;ID15;;
360.761.826.908;0.24517990181;Bangka;ID1901;Kepulauan Bangka Belitung;ID19;;
309.309.711.288;0.23471108072;Bangka Barat;ID1903;Kepulauan Bangka Belitung;ID19;;
533.631.327.286;0.30145312230;Bangka Selatan;ID1905;Kepulauan Bangka Belitung;ID19;;
383.212.487.387;0.17284582218;Bangka Tengah;ID1904;Kepulauan Bangka Belitung;ID19;;
683.651.972.168;0.18803455788;Belitung;ID1902;Kepulauan Bangka Belitung;ID19;;
469.698.597.198;0.20776454425;Belitung Timur;ID1906;Kepulauan Bangka Belitung;ID19;;
0.52626486348;0.00850266615;Kota Pangkal Pinang;ID1971;Kepulauan Bangka Belitung;ID19;;
831.640.871.283;0.10857080746;Bintan;ID2102;Kepulauan Riau;ID21;;
842.485.224.641;0.07487546097;Karimun;ID2101;Kepulauan Riau;ID21;;
1.073.199.124.490;0.05185457442;Kepulauan Anambas;ID2105;Kepulauan Riau;ID21;;
1.363.523.766.300;0.08214480820;Kota Batam;ID2171;Kepulauan Riau;ID21;;
114.945.703.960;0.01204765986;Kota Tanjung Pinang;ID2172;Kepulauan Riau;ID21;;
1.690.685.878.120;0.17934517562;Lingga;ID2104;Kepulauan Riau;ID21;;
790.906.822.769;0.16184380602;Natuna;ID2103;Kepulauan Riau;ID21;;
0.31986189348;0.00235681434;Danau;ID1888;Lampung;ID18;;
